PersonID,Number,HeightInches,WeightPounds,Position,AcademicYear,HighSchool
308,88,75,240,TE,R-Jr.,Florida
309,26,74,240,OLB,Fr.,Waianae HS
310,29,73,215,TB,R-So.,Mililani
311,56,74,230,ILB-OLB,Jr.,St. Louis
312,37,70,205,TB,R-Fr.,Evanston
313,89,78,250,TE,R-Sr.,McKendree
314,30,73,230,TB,Fr.,Cathedral HS
315,99,75,240,OLB,Jr.,
316,81,75,205,HLD-SNP,R-Sr.,St. Thomas Academy
317,95,76,310,DL,Fr.,Chaminade College Prep
318,1,74,250,ILB,Fr.,Bishop Gorman HS
319,2,75,200,S,So.,Bishop Gorman
320,87,76,205,WR,So.,Desert Pines
321,15,73,215,S,Fr.,Crescent Valley HS
322,34,75,235,OLB,Fr.,Central Catholic HS
323,51,75,305,DL,R-Fr.,Central
324,41,76,230,OLB,So.,Leone
325,13,75,220,ILB-OLB,So.,Westlake
326,15,73,200,PK,R-Jr.,Episcopal School of Dallas
327,28,73,205,TB,Sr.,Cedar Hill
328,38,69,195,TB,R-So.,Clemens
329,38,74,195,PK,Fr.,Vandergrift HS
330,45,77,260,OLB,Sr.,Salem Hills
331,54,74,230,ILB,R-Fr.,Layton
332,78,75,310,DL,R-Fr.,Bingham
333,44,70,180,WR,R-Jr.,Waukesha
